rank,last_rank,trend,name,city,rating,rating_5yr
313,706,stable,Sacred Hear t,Brampton,8.1,7.0
287,57,stable,Elmdale,Ottawa,8.2,8.7
313,846,stable,Crestview,Murillo,8.1,6.8
287,60,stable,Summit Heights Nor th,York,8.2,8.7
313,1031,stable,Frontenac,Burlington,8.1,6.6
287,133,stable,Johnsview Village,Thornhill,8.2,8.3
313,1054,declining,J R Wilcox,York,8.1,6.6
287,156,stable,Renaissance,Burlington,8.2,8.2
313,n/a,n/a,An-Noor,Windsor,8.1,n/a
287,180,stable,St Jerome,Gloucester,8.2,8.1
313,n/a,n/a,London Islamic,London,8.1,n/a
287,203,stable,McMaster,Ottawa,8.2,8.0
351,47,stable,St Henr y,Toronto,8.0,8.8
287,245,declining,Captain R Wilson,Oakville,8.2,7.9
351,88,improving,Humber Valley Village,Etobicoke,8.0,8.5
287,249,stable,Pierre Ber ton,Vaughan,8.2,7.9
351,94,stable,Bay view Hill Richmond,Hill,8.0,8.5
287,249,stable,St Mar y's Sault Ste.,Marie,8.2,7.9
351,115,stable,St Bernard of Clair vaux,Mississauga,8.0,8.4
287,315,stable,Elizabeth Simcoe,Scarborough,8.2,7.8
351,149,stable,Codrington,Barrie,8.0,8.2
287,333,stable,Forestview Niagara,Falls,8.2,7.7
351,152,stable,Sacré-Coeur,Bourget,8.0,8.2
287,369,declining,Nor thlake Woods,Waterloo,8.2,7.7
351,161,stable,John XXIII,Mississauga,8.0,8.2
287,369,stable,St Mar y of the Angels,Woodbridge,8.2,7.7
351,170,stable,St Raphaels,Burlington,8.0,8.1
287,390,declining,Kew Beach,Toronto,8.2,7.6
351,175,stable,Georges-Étienne-Cartier,Ottawa,8.0,8.1
287,399,stable,Chris Hadfield,Milton,8.2,7.6
351,191,stable,Sister Catherine Donnelly,Barrie,8.0,8.1
287,404,stable,Churchill Heights,Scarborough,8.2,7.6
351,200,stable,St James,Kanata,8.0,8.0
287,412,stable,Moraine Hills Richmond,Hill,8.2,7.6
351,209,stable,Charlton,Thornhill,8.0,8.0
287,412,stable,St Bernadette,Oakville,8.2,7.6
351,209,stable,St Thomas More,Mississauga,8.0,8.0
287,507,stable,Jean-Rober t Gauthier,Ottawa,8.2,7.4
351,285,stable,Jackman Avenue,Toronto,8.0,7.8
287,532,declining,Mar y Ward Niagara,Falls,8.2,7.3
351,381,stable,Redstone Richmond,Hill,8.0,7.6
287,547,stable,R Gordon Sinclair,Kingston,8.2,7.3
351,390,stable,Captain Michael VandenBos,Whitby,8.0,7.6
287,820,stable,René-Lamoureux,Mississauga,8.2,6.9
351,399,stable,Por t Rowan Por t,Rowan,8.0,7.6
287,879,stable,Queen of Heaven,Mississauga,8.2,6.8
351,456,stable,Legacy,Markham,8.0,7.5
287,n/a,n/a,Dr. David R. Williams,Oakville,8.2,n/a
351,547,stable,Jean-Paul II,Stittsville,8.0,7.3
287,n/a,n/a,Northern Dancer,Oshawa,8.2,n/a
351,571,stable,Immaculate Conception,Ancaster,8.0,7.2
287,n/a,n/a,Rouge Park,Markham,8.2,n/a
351,604,declining,Schomberg,Schomberg,8.0,7.2
313,115,stable,Beckett Farm,Markham,8.1,8.4
351,628,stable,Parkview,Komoka,8.0,7.2
313,127,stable,Orchard Park,London,8.1,8.3
351,657,stable,University Heights,London,8.0,7.1
313,168,stable,Central,Grimsby,8.1,8.2
351,744,stable,Minesing Central,Minesing,8.0,7.0
313,174,stable,Grande-Ourse,Kanata,8.1,8.1
351,774,declining,Florence Meares,Burlington,8.0,7.0
313,180,stable,Mackenzie Glen,Maple,8.1,8.1
351,774,stable,King George VI,Sarnia,8.0,7.0
313,191,stable,Trillium Woods Richmond,Hill,8.1,8.1
351,832,stable,St Brigid,Brampton,8.0,6.9
313,203,stable,Blessed Sacrament,Toronto,8.1,8.0
351,857,declining,Pope John Paul II,Hamilton,8.0,6.8
313,209,stable,Burrows Hall,Scarborough,8.1,8.0
351,857,stable,River Heights,Caledonia,8.0,6.8
313,209,stable,St Matthew,Mississauga,8.1,8.0
351,903,declining,Alain-Fortin,Orléans,8.0,6.8
313,209,stable,St. Benedict,Nepean,8.1,8.0
351,994,stable,Sainte-Thérèse-d'Avila,Marionville,8.0,6.6
313,228,stable,Charles R. Beaudoin,Burlington,8.1,8.0
351,1097,declining,Macaulay,Bracebridge,8.0,6.5
313,231,stable,St Brendan,Scarborough,8.1,8.0
351,1685,declining,Glen Orchard/Honey Harbour Por t,Carling,8.0,5.7
313,243,stable,Heritage Glen,Oakville,8.1,7.9
351,1876,declining,Pleasant Corners Vankleek,Hill,8.0,5.4
351,2285,stable,Westwood,Guelph,8.0,4.6
392,n/a,n/a,St Demetrius,Toronto,7.9,n/a
351,n/a,n/a,Downtown Alternative,Toronto,8.0,n/a
392,n/a,n/a,St. Josephine Bakhita,Kitchener,7.9,n/a
351,n/a,n/a,Ecole Elsie MacGill Thunder,Bay,8.0,n/a
392,n/a,n/a,Woodland PS St.,Catharines,7.9,n/a
351,n/a,n/a,Notre Dame Niagara,Falls,8.0,n/a
447,146,stable,Withrow Avenue,Toronto,7.8,8.3
351,n/a,n/a,Shanty Bay Shanty,Bay,8.0,n/a
447,152,stable,Nor thlea East,York,7.8,8.2
351,n/a,n/a,St Patricks,Sebringville,8.0,n/a
447,189,stable,St Gregor y the Great,Woodbridge,7.8,8.1
351,n/a,n/a,des Pins,Gloucester,8.0,n/a
447,227,stable,Sir Richard W Scott,Markham,7.8,8.0
392,62,stable,Convent Glen,Orleans,7.9,8.7
447,231,stable,Franklin Street,Markham,7.8,8.0
392,97,stable,Kennedy,Scarborough,7.9,8.5
447,247,stable,Mutchmor,Ottawa,7.8,7.9
392,127,stable,Richmond Rose Richmond,Hill,7.9,8.3
447,256,stable,N A MacEachern,Waterloo,7.8,7.9
392,149,stable,Dalewood St.,Catharines,7.9,8.2
447,259,stable,Hillcrest,Toronto,7.8,7.9
392,152,stable,Rick Hansen,Aurora,7.9,8.2
